Subsystem,Class,Method,UI,Threading,FormattingFns,EntryPoints,ContextID,Notes

Popup,XRL.UI.Popup,ShowBlock,Console,sync,"Markup.Transform > ColorUtility.CapitalizeExceptFormatting > TextBlock(StringFormat.ClipTextToArray) > ScreenBuffer.Write","Popup.Show; Popup.ShowBlock","XRL.UI.Popup.ShowBlock.Message","Prefix on ShowBlock localizes message/title before Markup.Transform so the console path never relies on TMP_Text hooks."

Popup,Qud.UI.PopupMessage,ShowPopup,Unity,uiQueue,"Markup.Transform (caller) > Popup.WaitNewPopupMessage > UITextSkin.SetText (TMP)","Popup.WaitNewPopupMessage; PopupMessage.ShowPopup","Qud.UI.PopupMessage.ShowPopup.Message","Prefix on PopupMessage.ShowPopup translates message/title (and strips invalid color tags) before WaitNewPopupMessage; downstream TMP simply renders."

Tooltip,XRL.UI.Look,GenerateTooltipContent,Unity,gameQueue,"Description.GetLongDescription > Markup.Transform","Look.ShowItemTooltipAsync; Look.QueueLookerTooltip","XRL.UI.Look.GenerateTooltipContent.Body","GameQueue assembles DisplayName/LongDescription/SubHeader/Wound text into a single blob and finalizes translation before any RTF/clip work."

Tooltip,ModelShark.TooltipTrigger,SetText,Unity,uiQueue,"Sidebar.FormatToRTF / RTF.FormatToRTF (gameQueue) > TooltipTrigger.SetText(Prefix translation+sanitize) > UITextSkin.SetText/TMP_Text","Look.ShowItemTooltipAsync; TooltipTrigger.ShowManually","ModelShark.TooltipTrigger.SetText.TooltipField","Prefix localizes each parameter, applies TooltipFieldLocalizer (Feeling/SubHeader/Wound helpers), and strips empty/invalid <color> tags so TMP_Text receives a final string."

MessageLog,XRL.Messages.MessageQueue,AddPlayerMessage,Console,sync,"Markup.Transform > MessageQueue.Messages > Sidebar.Text.DrawBottomToTop","MessageQueue.AddPlayerMessage; Sidebar.Draw","XRL.Messages.MessageQueue.AddPlayerMessage.LogLine","Classic sidebar log uses ScreenBuffer; hook before Markup.Transform to respect clip + scroll cache."

MessageLog,Qud.UI.MessageLogWindow,AddMessage,Unity,uiQueue,"XRLCore.RegisterNewMessageLogEntryCallback > RTF.FormatToRTF > TMP_Text","MessageLogWindow.AddMessage; MessageLogPooledScrollRect.Add","Qud.UI.MessageLogWindow.AddMessage.LogLine","Unity log prepends :: prefix then feeds pooled scroll rect; translation must already be applied in queue entry.

Journal,XRL.UI.JournalScreen,UpdateEntries,Console,sync,"StringFormat.ClipTextToArray(maxWidth=75, KeepNewlines) > ScreenBuffer.Write","JournalScreen.UpdateEntries; JournalScreen.Show","XRL.UI.JournalScreen.UpdateEntries.EntryLine","Entries built from JournalAPI; translate before Clip to keep prefix markers consistent."

Journal,XRL.UI.BookUI,AutoformatPages/RenderPage,Console,sync,"Markup.Transform > GameText.VariableReplace > StringFormat.ClipTextToArray(width=80-margins)","BookUI.HandleBookNode; BookUI.RenderPage","XRL.UI.BookUI.HandlePageNode.PageText","Book pages paginated offline; translate XMLÅ®BookInfo before AutoformatPages so wrapping stays stable."

Inventory,XRL.UI.InventoryScreen,RebuildLists/Show,Console,sync,"StringBuilder + Markup > ScreenBuffer.Write (80x25)","InventoryScreen.RebuildLists; InventoryScreen.Show","XRL.UI.InventoryScreen.CategoryLine","Classic inventory builds strings inline; translate category/item/weight labels before Buffer.Write."

Inventory,Qud.UI.InventoryAndEquipmentStatusScreen,UpdateViewFromData,Unity,sync (game thread) + uiQueue apply,"DisplayName ->-> InventoryLineData ->-> UITextSkin.SetText(ToRTFCached)","InventoryAndEquipmentStatusScreen.UpdateViewFromData; InventoryLine.setData","Qud.UI.InventoryLine.CategoryLabel","InventoryLine instrumentation binds UITextSkin contexts (UIContext) and InventoryParamMapCache snapshots the ToRTFCached labels/weights so uiQueue TMP_Text skips strings already localized on gameQueue."

Factions,XRL.UI.FactionsScreen,Show,Console,sync,"TextBlock(DisplayName,width=30) > ScreenBuffer.Write; FormatFactionReputation","FactionsScreen.Show; WriteFaction","XRL.UI.FactionsScreen.WriteFaction.Line","Classic reputation list; translate faction names/descriptions via Faction APIs before TextBlock."

Factions,Qud.UI.FactionsStatusScreen,UpdateViewFromData,Unity,sync (game thread) + uiQueue via UITextSkin,"FactionsLineData.set Å® UITextSkin.SetText(ToRTFCached)","FactionsStatusScreen.UpdateViewFromData; FactionsLine.setData","Qud.UI.FactionsLine.Details","Modern reputation tab uses TMP; hook Faction text providers or FactionsLine directly."

Trade,XRL.UI.TradeUI,ShowTradeScreen,Console,sync,"StringBuilder Markup > ScreenBuffer (two-pane)","TradeUI.ShowTradeScreen; TradeUI.UpdateTotals","XRL.UI.TradeUI.Totals.Readout","Classic barter UI draws strings manually; translate category/item/price labels before ScreenBuffer.Write."

